,price,packaging,product,aroma,review_text
2528,0,0,-1,1,"toner ini wanginya enak! beneran beli toner ini karena suka sama wanginya. adik sama tanteku juga pakai dan cocok banget. sayangnya produk ini sepertinya kandungan alkoholnya cukup tinggi jadi bikin kulitku tambah kering. beberapa kali pakai muncul bruntusan di kulitku, jadi nggak terusin pake lagi."
3538,0,0,1,0,"serum ini lebih sering dikenal dengan sebutan ccdss singkatan dari namanya yang panjang bangets. suka banget pakai serum ini namun biasanya pakainya gak all over alias seluruh muka, hanya bagian tertentu saja yang tampak muncul dark spot atau di area yang pernah dihinggapi jerawat buat menyamarkan warna nya biar gak jadi dark spot. teksturnya yang cair namun sedikit kental pun mudah dioleskan dan menyerap ke dalam kulit. biasanya muka agak terlihat cerah setelah beberapa lama pemakaian, namun untuk dark spot atau menghilangkan bekas jerawat yang sudah menghitam agak butuh waktu yang lama, tetapi untuk bekas jerawat yang baru muncul apabila dipakai langsung rutin bisa menyamarkan dan hilang tak berbekas. jadi sebaiknya gunakan serum ini segera setelah jerawat mengempes agar tidak menimbulkan bekas yang mengganggu nantinya."
1158,-1,0,1,0,"harganya start from usd 27 sebenarnya karena ada beberapa size.  best skincare product yang pernah saya coba. kondisi kulit saya improve banyak sejak memasukkan lotion p50 ini ke ritual perawatan kulit saya setiap hari. kulit saya jauh lebih cerah, glowing, dan rasanya seluruh kulit mati saya terangkat dengan baik setiap memakai produk ini.  mengandung lactic acid dan glycerin. awalnya agak kaget dengan baunya dan pertama kali pakai, berasa perih. tapi hanya 1-2 hari, sesudah itu biasa. kadang-kadang rasa perih masih ada tergantung kondisi kulit, tapi perih yang menyenangkan :)  saya pakai ini hanya malam hari saja, sesudah double cleanse sebagai toner pertama. sesudah ini mau pakai serum tanpa 2nd toner (hydrating) pun tidak apa-apa.  sudah beli botol ke-2. dan rasanya tidak akan pernah menghilangkan lotion p50 ini di jajaran skincare saya."
3025,0,0,1,0,"sekitar 6 bulan yang lalu aku mulai pake fte ini karena baca reviewnya yg bagus bagus banget, awal pemakain produk ini syukurnya aku ga mengalami purging, dan setelah beberapa bulan pemakaian fte kulit mukaku jadi berasa beda banget,\u00a0 kulit muka ku yang tadinya cenderung\u00a0berminya, kusam\u00a0dan berjerawat jadi\u00a0berasa lebih lembab tapi ga berminyak, keliatan glowing walaupun kurang tidur sekalipun, dan yang pasti ga mesti touch up berkali kali karena efeknya yg mencerahkan dan bikin kulit kusam ilang.\u00a0dari segi kemasan sebenarnya aku suka suka aja,secara botolnya terbuat dari kaca\u00a0emang agak berat kalau mesti dibawa travelling."
3424,0,0,1,0,waktu itu caper mini sizenya dari astalift. untuk mencegah penuaan dini sih jadi aku pakai di sekitar agian leher saja. melembabkan kuli banget dan teksturnya beneran kayak jelly haha. abis di colek gak lama baliklagi jadi rata. teksturnya ringan dan gak berasa lengket dikulit.
2600,1,0,-1,-1,"the price is really affordable and it can clean my makeup or any dirt on my face pretty well.  cuma sayangnya, aromanya menusuk sekali dan ada sensasi perih di wajah setelah dibersihkan menggunakan produk ini :( trus juga, it can burn your eyes when it's splashed accidentally :("
2834,0,0,1,0,"produk ini adalah salah satu produk yang bisa bikin aku jatuh cinta pada pemakaian pertama.  karena dia tergolong sebagai serum, maka aku pakainya setelah fte -nya sk ii. walaupun ada kandungan alkoholnya, tapi menurutku dia sama sekali tidak bikin kulit kering. pakai ini bikin kulit terasa lembab, kenyal,  mencerahkan dan yang paling bikin seneng sih karena ga bikin purging. dia ada kandungan oksigennya juga yang katanya berfungsi untuk mengaktifkan energi sel dan vitalitas."
344,0,0,1,0,"awal-awal pakai agak aneh karena rasanya too moisturizing on my oily skin. tapi lama-lama jadi suka aja karena kalo ditimpa mattifying base\\\\/powder jatuhnya jadi oke. ngga bikin breakout juga. overall, a decent sunscreen and i might repurchase this."
4552,-1,0,0,0,"awalnya ragu untuk pake scrub karena takut bikin muka kering. sempet cobain di counter clinique, ternyata tekstur scrubnya gak terlalu kasar makanya aman dipakai tiap hari. lembut di muka, berhasil angkat kulit2 mati. tapi harganya lumayan mahal juga ya untuk scrub."
4397,0,0,1,1,"beli sekitar sebulan yang lalu jujur aja pertama kali beli sih dan baru pake sekitar empat kali make ini biasanya pagi pagi sebelum mandi, pas mandi sekalian di cuci, abis mandi kerasa banget kulit jadi kenyal dan halus lus lus!! enak banget!! aku selama ini nyoba ga aku cairin dan emang kasar banget sih, tapi tetep suka! baunya pun enak. jujur ngerasa cocok banget sih sama produk ini repurchase? iya tapi mungkin suatu hari ya karena ini produknya masih banyak banget :))  "
1962,1,0,1,0,"sariayu white aromatic pembersih all-in-one ini yang saya pilih karena; pertama, saya nih udah ngefans banget sama produk-produk sariayu dari mulai rangkaian perawatan dan make up; kedua, karena harganya murah meriah banget jadi patut untuk dicoba. hasilnya sih bagus ya, meskipun memang kadar alkoholnya kayaknya lumayan tinggi, tapi abis pake ini kulit berasa segar. biar gak berasa kering ya aku biasanya tumpuk lg pake toner dan night cream"
824,1,1,1,0,"cinta banget sama lipstick yg satu ini. saking cinta nya sll aju bawa di beautycase. teksturenya cocok banget di bibir aq, cair tp gag bikin ky berminyak gt. creamy n gag kering di bibir aq. sangat efektif banget krn gag harus make lipbalm dulu. jadi cocok utk di bawa2. kemasannya bagus n harganya masih terjangkau laah"
364,-1,0,1,0,produk sungguh praktis karena ada mosituriser dan spf protection. kulit tidak kering karena menggadung moisturiser. untuk efek mencerahkan saya rasa tidak terlalu signifikan efeknya. harga? mahal pastinya. tapi pasti akan repurchase.
1791,1,0,1,1,"salah satu produk cheap but great yang legendaris. salah satu toner yang dikategorikan oleh dermatologis ku aman. meskipun nggak terlalu ada perubahan signifikan jangka panjang(misal mencerahkan atau mengatasi jerawat),  it works great as toner tho, kulit selalu segar dan adem setelah pakai ini, dan pori-pori mengecil meskipun temporary. baunya juga segar dan harganya murah banget."
3446,0,0,1,0,"aku suka missha fte ini karena kulit jadi cerah, kenyal dan moist. biasanya cuma pake 2 tetes aja di telapak tangan dan langsung oles ke muka. harus tunggu beberapa menit sih biar nyerap sempurna, soalnya agak lengket pas abis dipake.  sayangnya kalo dosisnya lebih dari 2 tetes itu jadi jerawatan di aku."
209,1,0,1,0,"suncreen favorit, water basednya bikin ga lengket, cepat menyerap, bisa dipake seluruh badan *tapi sayang* dan irit! serius. beli sebotol bs dipake 5bulanan klo dipake wajah aja. harganya murah!! ini udh mau botol ketiga."
2816,-1,0,1,0,"aku sangat bersyukur udah nemuin skin care yang pas untuk kulit ku dan rata-rata dari brand laneige,salah satu nya itu white plus renew original essence ini..bikin wajah ku halus,lembut,dan lebih cerahan dari awal pemakaian sampao sekarang ga bikin breakout..minus nya harga nya lumayan mahal dan di kota ku blom ada konter nya,tapi tetap bakalan repuchase terus.."
677,0,0,-1,-1,"sunblock wardah ini bertekstur gel putih,lengket dan berminyak.menyebabkan kulit saya yang kombinasi ini semakin berminyak,kusam dan berkomedo. sunblock ini berbau gel aloe vera yang cukup menyengat.di siang hari sunblock ini tidak dapat melindungi kulit saya yang sangat sensitif,masih menyebabkan perih dan memerah,make up cepat meleleh. untuk produk ini saya tidak akan membelinya kembali."
1768,1,0,1,1,"penyegar ini enak dipake, kalo dipake adem2 seger semriwing gitu. cocok di aku, ngga bikin break out atau nambah jerawat. ngga bikin kulit kering atau berasa ketarik juga, bisa bersihin sisa makeup dgn tuntas. wanginya pun enak. murah banget dan gampang di dpt"
739,1,0,0,0,bb cream buatan lokal yang pertama aku coba. (+) harganya murah dibanding bb cream buatan korea (+) teskturnya ringan untuk pemakaian sehari-hari (+) mudah didapat (-) tidak mengcover noda-noda di wajah (-) wajahku terlihat lebih berminyak dengan produk ini (-) tidak ada spfnya (-) daya tahan sampai 2 jam saja
1233,0,0,1,0,"the best toner ever..udah pake beberapa macam skin care tapi pori tetep aja gede, setelah coba ini di hari ketiga voila.!! ppori-poriku mengecil, ga bikin breakout dan ga bikin kulit kering walaupun ga pake hydrating toner setelahnya..i love it"
2011,1,0,1,1,"beli toner ini karena satu-satunya toner viva yang ga ada alkoholnya. harganya murah banget cuma 5ribu tapi nyari yang greentea ini susyaah banget. toner ini cocok banget di gue, malah bisa mengurangi jerawat gue yang lagi banyak2nya saat ituini toner viva favorit gue karena no alcohol makanya gue suka banget. wanginya cukup enak, harganya murah meriah euy dan nyarinya susah banget yang greentea ini suka abis terus dimana-mana. ga bikin breakout dan toner ini bisa ngurangin jerawat gue"
800,1,0,0,0,ini review aku tentang bbc ini: + harga murah + mudah didapat + shade warna no. 2 masuk ke kulitku + ga bikin breakout + ringan - coverage kurang - baru dipakai sebentar muka udah kayak kilang minyak - cepet luntur
3765,0,0,-1,0,"nope..it doesn't work for me nor my mother..i have small little flek and my mom has a pretty big one...sudah habis satu botol tidak berkurang atau memudar sama sekali dibagian fleknya.. aku pakai lebih untuk mencerahkan dan memudarkan flek kecil di pipi, tapi ternyata ga terasa ada perubahan sama sekali.. tapi bila dipakai sebagai moisturiser cukup enak, karena tidak lengket juga tidak membuat timbul jerawat di kulit sensitive aku."
4423,1,0,0,0,"peeling cream pertama yang ku coba setelah dapet recommend dari temen. ternyata bener bisa banget ngangkat kulit mati, kotoran2 di permukaan kulit! setelah pemakaian, kulit wajah terasa lembut, bersih, tekstur lebih halus. lebih senengnya lagi karna harganya super terjangkau dan gampang ditemuin dimana-mana. alternatif banget kalo ga peeling di dokter atau beauty clinic hehe. tapi sekarang lagi ga pake dulu karna lagi jerawatan dan bruntusan, kata dokter pun kulitku jadi tipis jadi untuk sementara stop peeling dulu. mungkin nanti kalo jerawat udah sembuh, kulit udah kembali sehat dan ""tebel""an, bakal pake lagi ;)"
4758,0,0,0,1,sejauh aku pake body scrub citra ini sih enak enak aja yaa.. baunya juga wangi n awettt... ga bikin kulitku kering n daki jadi kerasa keangkat semuaaaa.. :) sensasi setelahnya tuh licinnnn bgt tapiinya mayan bikin risihh
2591,1,0,1,1,selalu pake air mawar ini untuk campuran masker dari dulu sampe sekarang ..  wanginya soft banget bikin kulit terasa seger ..  ini air mawar andalan banget dari jaman nyokap gw dulu.. harganya murah dan mudah dicari dimana2
4493,0,0,0,0,"scrubnya halus dan enak dipakai, tidak menimbulkan rasa perih karena tergores. namun agak cepat kering ya, jadi kesannya kita awalnya enak agak cair beberapa detik kemudian kayak kita &quot;mbolot&quot;, tapi hasil akhirnya memuaskan, kulit halus, kulit mati terangkat dan berasa bersih dan tentunya cerah booookkk."
4170,0,0,1,0,"suka suka suka bgt pake scrub ini, aku pake hampir tiap hari, hasil.y kulit jd lembut, noda wajah lama lama hilang, n jd jarang jerawatan, efek.y itu lembut tp bersih, puas bgt pake scrub ini dan aman2 aj tuh dpake tiap hari...\u00a0"
3103,0,0,1,0,"awal2 pke fte ini jerawatan parah, sekitar 1 bulan ak ngalamin purging.. sampe temen2 ngusulin d stop aja sking kasiannya liat muka aku.. tapi ak ttp sabar soalnya baca2 review yg make fte kebanyakan hrus ngalamin purging dlu baru kliatan hasilnya.. dan smpe skrg udh skitar 4 bulan ak pake kondisi muka aku jauhhhh lebih oke.. jerawat udh kabur, tinggal bekas2 nya aja.. kulit juga berasa kenyal, dan lebih cerah.. pkoknya bagi aku wajib deh repurchase fte."
4806,1,-1,0,1,juara banget untuk mengangkat kotoran (daki) dan kulit mati.. wanginya juga enak.. harganya terjangkau jadi ga eman buat pakai banyak-banyak.. sayang kemasannya kurang menarik dan di aku efek memutihkannya tidak terasa.
1334,0,0,1,0,"my favourite toner from kiehl's!! sukaa banget sama wangi calendulanya, dan emang pas dipake muka jadi berasa soothing adem tenang gitu haha cocok banget buat kulit yang sensitif dan agak oily, kayak kulit aku. kebetulan aku juga pake calendula facial wash jadi emang toner ini jadi pelengkap banget sih hehehe"
486,-1,0,0,0,"harganya mahal udah naik sekarang hiks.. terakhir beli bulan lalu di toko sebelah udah 42 ribu. suka karena bikin lembab dan cepet meresap di kulit, selebihnya kayaknya biasa aja seperti varian vaseline yg lain. event mencerahkan mungkin 30% aja kali ya, soalnya aku ga ngerasa kulit jadi cerah sih, biasa aja gitu. repurchase? maybe, mau cari lotion yg bener-bener mbikin cerah soalnya biar ga kalah sama muka hahaha"
3645,0,0,-1,0,"aku juga kurang cocok pakai fte ini :( padahal dengan banyaknya review positifnya, jadi banyak berharap sama produk ini. tapi sayang malah bikin aku breakout jerawat didalem yg sakit banget itu. akhirnya aku stop aja pemakaiannya setelah seminggu."
903,1,-1,0,0,"gw suka banget lipstick ini! selain harganya yang 'ramah kantong', warna-warnanya juga cantiiikk banget... dengan harga yang lumayan murah, kualitasnya cukup baik. walaupun ada beberapa warna khususnya warna yang muda, teksturnya sedikit kurang ok. tidak ngeblend di bibir dengan baik, apalagi jika bibirnya kering. tapi untuk warna-warna yang bright and bold, teksturnya luar biasa! yang nggak gw suka adalah tutupnya yang gampang lepas kalau kita sering buka-tutup produk ini.."
1562,0,0,1,0,"i can't believe my oily and acne-prone skin is loving this stuff so much. walaupun sekarang udah jarang pakai sih karena lagi nge-cut skincare regime tapi entah udah berapa botol aku habisin. it's a very lightweight skin\\\\/lotion (atau toner nama lebih umumnya), langsung menyerap, ngga lengket. kalau ada yang tanya apa bedanya sama yang versi jepang, hm mungkin bentuk kemasannya kali ya yang sedikit beda karena ingredientsnya sama semua (sila cek cosdna atau review review sejenis). so for us indonesians, it's definitely a steal karena kalo beli di ebay bisa sampai 17 usd."
2836,0,0,1,0,"saya sangat suka serum ini, kadang saya pakai malam saja. besok pagi nya muka jadi kenyal-kenyal dan lembab sekali. engga lengket sama sekali dikulit.   punya yang 15ml itupun awet banget menurut saya kalau kita pemakaian hanya malam hari. untuk harga sepertinya ini wajar saja dengan hasilnya yang oke di wajah saya.   jelas saya akan membelinya lagi ketika serum ini habis hehehe "
1814,1,1,1,0,"produk lokal juga tapi aku cocok enak di wajah, adem seger dan ga terlalu nyengat alkoholnya harga sesuai kemasan juga oke lah, ga kegedean juga bisa dipake dlm waktu lama repurchase yes karna cocok sama wajah aman"
2667,0,0,1,0,"aku agak telat kenal produk skii, pertama kali coba fte nya. penasaran dengan essence ini karena yang ada didalam pikiran apalah kehebatannya. its just a water, right? tapi ini memang a miracle water, jerawat menjadi calm, wajah lebih kenyal. kalo repurchase upgrade ke size yang lebih besar. untuk aplikasi, pertama kali pakai kapas. kalau sekarang sih pakai tangan aja, karena emang sayang sih jadi terserap ke kapas essense nya."
286,1,0,0,0,"i've been using this sunscreen for ages. untuk kulit yang berminyak, baiknya oleskan sunscreen ini tipis-tipis aja. karena kalau kebanyakan pakai bisa-bisa daerah t-zone kayak kilang minyak setelah beberapa jam.. :d  harganya yang murah dan diproduksi oleh brand kecantikan yang sudah terkenal kehalalannya jadi alasan kenapa saya memakai produk ini."
4747,0,0,1,1,scrub ini rekomen banget buat yang kulitnya super kering. seudah mandi gak ngeringin kulit sama sekali. malah jadi lembab banget dan super wangi. bikin kulit halus juga. lumayan angkat kulit mati walau gak sebagus si oolive scrub.
2223,0,1,-1,0,"kemasannya plastik dengan lubang kecil. mudah dibawa kemana-mana karena tidak begitu besar dan cukup rapat.  teksturnya agak kental untuk ukuran toner dan membutuhkan waktu untuk meresap. aplikasi paling baik langsung dengan tangan (tanpa kapas).  efeknya kulit terasa lembab namun tidak begitu menyegarkan. bisa dimaklumi karena tekstur nya (mirip hada labo toner).  selain itu, tidak terasa ada manfaat dari kandungan snail dan egf nya (menurutku)."
988,0,1,0,0," (+) gak bikin bibir kering , asal rajin scrub bibir (+) harganya murah (-) kalau makan berat warnanya hilang"
1855,1,0,1,0,"kalo buat saya, air mawar ini bisa jd ganti nya purerose hydrosol, kalo lg kepepet..hihi.. sejatinya suka aku pakai untuk campuran masker, bedak dingin..nyess gitu ke muka, adem bgt.brand viva mah emang oke punya, murah dan berkualitas."
2923,1,1,0,0,"ini serum pertama yang saya coba. belinya super iseng karena mudah didapatkan di mana saja dan harganya murah. menurut saya cukup melembabkan, kemasan bagus, higienis, enak dibawa travel. sayangnya konsistensi terlalu tebal, lama meresapnya, dan belum ada perubahan untuk fine lines. masih cari serum lain yang lebih baik :)"
3232,0,0,1,0,"holy holy holy grail skincare 2 thn ini... sukaaaa bgt krn kondisi kulit aku jadi membaik.. dr yg berjerawat dan bekas2nya tp kulitnya dull dan kusem.. jadi moist kenyel2 dan jerawat mereda.. palingan satu dua pas datang period. ada 1 komentar mua yg udah lama ga ktemu... kulit nya sekarang bagus,,, pakai apa? luv it luv it... tp mehongnyaa jd merambah ke produk2 sk-ii lainnya dengan nyicil satu-satu...."
3541,-1,0,1,0,produk ini walaupun mahal tapi bekerja dengan baik. tektur jellynya gampang menyrap dan gak lengket sama sekali. digunakan sebagai pre-essence untuk membantu penyerapan skincare yang lain. fine lines berkurang pakai ini dan kulit lebih kencang.
178,1,0,1,0,"kulit gue yang kombinasi pun kalo pake ini kok gak bikin berminyak di t-zone gue sih, overall bagus dan emang walaupun gue kepanasan gak bakalan muka gue belang... udah repurchase produk ini berkali-kali dan emang bagus banget sih... reccomend banget buat sunscreen yang murah tapi gak bikin muka jadi belang....."
3534,0,0,1,0,"suka dengan efeknya ketika digunakan, membuat kulit terasa licin dan halus, serta lebih matte. mungkin karena ada kandungan silikonnya. kalau pakai produk ini, wajah akan terlihat lebih glowing dan segar dipagi hari."
725,-1,0,-1,0,"no. just no. *le sigh* beli ini karena mau ngabisin point aja plus penasaran...tapi ternyata setelah dicoba, nggak banget..aku udah pake shade yang paling terang, tapi jatohnya di aku tetep jadi orange gt...*weird*..coverage nya juga sheer bgt, and oily, bahkan di mukaku yang kering pun kesan oily nya keliatan jadi malah bikin mukaku jadi keliatan sangat kusam..dan jorok kesannya kerna orens dan berminyak.. :( ( harganya pun mahal huhu. sorry tbs, but this time...no..."
2162,1,0,1,1,"praktis, sekali usap beres, mengangkat makeup bersih banget, tidak terasa berminyak sama sekali, wanginya segar, gampang didapat dan murah, tidak membuat kulit jerawatan atau bruntusan di jidat. pokonya bakal beli lagi deh"
1302,1,0,1,0,"murah tapi tidak murahan. produk viva yang satu ini adalah sahabat setia :) ok untuk acne prone skin, membantu mengangkat kotoran dengan baik, dan tidak menimbulkan masalah baru di kulit sensitif saya. tidak akan pernah berganti ke varian lain sejak pertama mencoba produk ini hingga sekarang"
3577,0,0,1,0,"udah ngincer dari lama karena baca review yg menggiurkan. sebelumnya aku sempat pakai anr. buat first impression, produk ini lebih melembabkan daripada anr. bangun pagi kulit lebih lembab, bener2 terasa bedanya dibandingkan cuma pakai serum saja. semoga efek jangka panjangnya juga baik. packagingnya bagus sayang aku lebih suka tipe pump drod dropper krn pump lebih menghindari kontak langsung dg udara. cukup pake 2 tetes aja ke wajah dan leher dan tepuk2 supaya meresap :)"
4763,0,0,1,1,"dari segala scrub tradisional paling suka aromanya herborist yang kiwi ini, sbnrnya gatau dibagian mana aroma kiwinya, tapi aromanya enak banget, soft dan nyegerin. malah menurutku yang milk aromanya terlalu strong. buat efek mutihinnya kyknya ga keliatan sih padahal gue tiap 3hari sekali luluran, tapi buat bersihin dan angkat kulit mati lumayan oke. scrubnya lumayan berasa ga alus banget dan ga kasar banget. suka banget mandi pake herborist yang kiwi ini berasa relax dan seger banget. sayangnya yg aroma kiwi agak susah didapetinnya di jakarta :("
3588,0,0,1,0,"serum ini lumayan ampuh buat memudarkan bekas jerawat di wajah. tapi kalo untuk ngecilin pori-pori aku ga ngerasain efeknya. serum ini agak ribet karena harus disimpan d kulkas, selain itu pas awal2 diaplikasiin k wajah agak  lengket."
1891,0,0,1,1,aku suka wanginya toner ini.. aku pakai bergantian sama toner yang lain.. aku ga ada masalah pakai toner yang berbeda bergantian.. rasanya sama sih seperti toner yang lain.. hanya menyegarkan.. tapi kalo di-skip juga sepertinya ada yang kurang dari rangkaian skincare kiehls ini..
158,-1,0,1,0,"produk favorit banget!!! enak dipake plus ga perlu repot nambahin bedak kalo mau keluar rumah karena warnanya udah matte sama kulit dan berasa pake foundie. ringan, ga lengket dan nyaman dipake soalnya ga bkin kulit oily jadi tambah super oily. repurchase? absolutely yes. tapi harganya lumayan mahal huhu"
1544,0,0,1,0,"udah ngabisin 3 botol! and still want to repurchase. karena emang bener2 ngebersihin make up, even yg waterproof. juga menghidrasi, krn tidak ada perasaan tight skin atau dry patches atau pun perih-perih setelah pemakaian"
4980,1,0,0,0,"body scrub ini murah, gampang dapetnya dan isinya buanyak. habisnya lama ku pake. selain itu juga ampuh buat ngangkat sel kulit mati di kulit, scrubnya juga ga trlalu kasar dan sakit menurutku. efek membabkan juga dapet, kadang smp agak susah dibilas."
1001,1,1,1,0,"liquid lipstick dengan harga yg affordable ini kualitasnya oke banget. packagingnya termasuk cantik, tapi sayangnya detail colourpop di tube cepet hilang. dan ada beberapa item yg leaking. solow sendiri di saya warnanya jadi warm pink yg lembut. sangat cocok dipakai sehari-hari. tidak terlalu pucat, namun tidak neon juga. mudah di aplikasikan, pigmented, long lasting, teksturnya halus dan ga bikin bibir terlalu kering. baik diaplikasikan full swipe maupun dioles tipis dengan jari, hasilnya bagus."
3639,0,0,-1,0,"nyobain trial size fte selama sebulan, waktu 2 minggu awal suka banget pake ini. ngerasa muka jadi sehat dan kuat (yes it felt that way?:p). tapi begitu udah jalan minggu ke 3 dan ke 4 mulai muncul merah-merah di muka dan bruntusan. kalo baca di forum kan karena proses purging yang biasanya terjadi 28 hari. jadi aku masih terusin sampe jalan minggu ke 5 nggak ada perubahan, akhirnya aku stop."
3359,0,0,1,0,"ini merupakan serum di custom sesuai kebutuhan kulit kita, jadi sebelum beli kita bisa  kita melalui beberapa pertanyaan tentang jenis kulit kita setelah itu baru keluar hasilnya kulit kita ini cocok pake serum yang mana, dan mereka pilihkan 3 serum di combine jadi 1 bottle. jujur aku baru pake 1 bulan belakangan ini dan tau ini dari sodaraku dan kulitnya emank super kinclong banget n flawless banget. untuk aku sendiri aku merasa pore ku mengecil dan kulitku jadi lebih halus n gak se oily dlu kalo mau jujur lines di wajah ku berkurang jauh.ini memang magic banget serum ini"""
2387,0,0,-1,0,"product ini so so sih ya, gak tau apakah masuk ke dalam kategori bha toner atau tidak. karena pakai ini lengket seperti hydrating toner, jadi agak kurang suka. pemakainnya juga irit karena pakainya cukup dikit saja bisa untuk seluruh wajah. overall kalau untuk repurchase saya rasa tidak."
1558,-1,-1,1,1,"who doesn't love this? i use this as my night toner ever since.&nbsp; toner ini berwarnya coklat seperti teh hitam dengan wangi gingseng yang menenangkan (mungkin saya yang seleranya nenek nenek kali ya). after feeling setelah menggunakan ini, awal awal cekit cekit tapi lama lama jadi nyaman dan keliatan banget 'daki' di wajah, leher, belakang telinga keangkat semua! sehabis menggunakan ini sih saya jarang menggunakan hydrating toner, cuma spritz menggunakan facial spray aja itupun kalau ingat. untuk kulit berminyak sih rasanya tidak terlalu harsh ya. efek glowingnya sih awal awal keliatan banget, lama lama gak glowing glowing amat sih. toner ini paling terlihat efeknya untuk komedo, setelah menggunakan ini secara rutin komedo di dagu dan hidung benar benar menghilang. that's why i keep on re-purchase this toner!&nbsp; consnya: di indonesia belum masuk, jadi dijual dengan harga yang lumayan tinggi. dan botolnya kalau jatuh..... goodbye."
3927,0,-1,-1,0,lengket dan bikin jerawatan. mulai dari yang jerawat kecil sampe jerawat gede yang susah hilang dan begitu hilang bikin acne scars. efek cerah? nope. good for nothing product. akhirnya malah digunain di tangan dan kaki buat kulit yang kering dan pecah-pecah. apakah pecah-pecah kulit di tangan dan kaki itu jadi hilang dan kulit lebih lembab? nggak juga tuh. hrrr. cuma bagus packagingnya doang ini sih.
3517,0,0,1,0,"pertama kali nyoba dikasih sample dari ba kiehl's dan langsung suka, pakai malam 2 tetes aja cukup dan pagi harinya kulit jadi glowing dan kenyal. akhirnya memutuskan buat beli full size. awet banget beli january 2015 sekarang masih banyak padahal pakai berdua ibu. enggak masalah juga dengan aromanya, tapi karena kulit oily jadi agak tricky enggak bisa pakai setiap malam, at least 3 kali aja seminggu. lebih recommend untuk kulit normal atau dry ya, tapi kalau lagi ada jerawat bikin calming. love the product so far."
